parent_id,child_level,text,text1,tag,class,nh,font_size,align,font_famliy,margin_bottom,margin_left,margin_right,margin_top,text_indent,marign,x_ind,file_id,text_raw,rel_parent_id,max_font_size,min_font_size,rel_font_size,child_level_max,rel_child_level,sentence_case,title_case,upper_case,lower_case,no_text,startswthnum,dots,word_len,id
1,1,introduction,first_level,p,Heading1,p_,11.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,INTRODUCTION,0.041666666666666664,12.0,11.0,0,3,0.33,0,0,1,0,0,0,0,1,introduction
1,2,introduction,INTRODUCTION,b,Heading1,p_b_,11.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,INTRODUCTION,0.041666666666666664,12.0,11.0,0,3,0.67,0,0,1,0,0,0,0,1,introduction
1,3,introduction,INTRODUCTION,span,Heading1,p_b_span_,12.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,INTRODUCTION,0.041666666666666664,12.0,11.0,1,3,1.0,0,0,1,0,0,0,0,1,introduction
2,1,widecomplextachycardiawctdefinedasacardiacrhythmwithaqrswidthof120msandheartrateof100bpmoftenpresentsasadiagnosticchallengethedifferentialdiagnosisforwctincludesventriculartachycardiavtsupraventriculartachycardiawithaberrationsvtaandpreexcitedtachycardiadifferentalgorithmsandcriteriahavebeendevelopedtoaidelectrocardiographicdifferentiationofvtandsvta1themostcommonlyusedcriteriaincludethebrugadaalgorithm2theavrvereckeialgorithm3theleadiirwavepeaktimecriterion4andgriffithalgorithm5recentlymathematicallogisticregressionmodelsthewctformulathewctformulaiivtpredictionmodel678forimplementationincomputerizedecginterpretationsoftwarehavealsobeendevelopedwehadobservedinourpatientpopulationthatpresenceofpathologicqwavesqwave40msinwidthand25oftheqrsamplitudeininferiorleadsiiiiiandavfinawctcorrelatedwithadiagnosisofvtbutcomparativeaccuracywithotherwellestablishedalgorithmshavenotbeenrigorouslystudiedwesoughttoexaminetwoqwavecriteriaqwcaandqwcbindifferentiatingwctsusingthepresenceorabsenceofspecificqwavepatternsininferiorleadswealsocompareditsdiagnosticaccuracytothewellvalidatedbrugadaalgorithm,first_level,p,,p_,11.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.1 The most commonly used criteria include the Brugada algorithm2, the aVR ‘Vereckei’ algorithm3, the lead II R-wave-peak-time criterion4 and Griffith algorithm.5 Recently, mathematical logistic regression models (The WCT formula ,The WCT formula II, VT prediction Model)6,7,8 for implementation in computerized ECG interpretation software have also been developed. We had observed in our patient population that presence of ‘pathologic’ Q waves (Q wave >40ms in width and >25% of the QRS amplitude) in inferior leads (II, III and aVF) in a WCT correlated with a diagnosis of VT. But comparative accuracy with other well-established algorithms have not been rigorously studied. We sought to examine two Q-wave criteria (QWC-A and QWC-B) in differentiating WCTs using the presence or absence of specific Q wave patterns in inferior leads. We also compared its diagnostic accuracy to the well-validated Brugada algorithm.",0.08333333333333333,12.0,11.0,0,2,0.5,0,0,0,0,0,0,0,211,widecomplextachycardiawctdefinedasacardiacrhythmwi
2,2,widecomplextachycardiawctdefinedasacardiacrhythmwithaqrswidthof120msandheartrateof100bpmoftenpresentsasadiagnosticchallengethedifferentialdiagnosisforwctincludesventriculartachycardiavtsupraventriculartachycardiawithaberrationsvtaandpreexcitedtachycardiadifferentalgorithmsandcriteriahavebeendevelopedtoaidelectrocardiographicdifferentiationofvtandsvta,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.1 The most commonly used criteria include the Brugada algorithm2, the aVR ‘Vereckei’ algorithm3, the lead II R-wave-peak-time criterion4 and Griffith algorithm.5 Recently, mathematical logistic regression models (The WCT formula ,The WCT formula II, VT prediction Model)6,7,8 for implementation in computerized ECG interpretation software have also been developed. We had observed in our patient population that presence of ‘pathologic’ Q waves (Q wave >40ms in width and >25% of the QRS amplitude) in inferior leads (II, III and aVF) in a WCT correlated with a diagnosis of VT. But comparative accuracy with other well-established algorithms have not been rigorously studied. We sought to examine two Q-wave criteria (QWC-A and QWC-B) in differentiating WCTs using the presence or absence of specific Q wave patterns in inferior leads. We also compared its diagnostic accuracy to the well-validated Brugada algorithm.",span,,p_span_,12.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.",0.08333333333333333,12.0,11.0,1,2,1.0,1,0,0,0,0,0,0,62,widecomplextachycardiawctdefinedasacardiacrhythmwi
2,2,1,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.1 The most commonly used criteria include the Brugada algorithm2, the aVR ‘Vereckei’ algorithm3, the lead II R-wave-peak-time criterion4 and Griffith algorithm.5 Recently, mathematical logistic regression models (The WCT formula ,The WCT formula II, VT prediction Model)6,7,8 for implementation in computerized ECG interpretation software have also been developed. We had observed in our patient population that presence of ‘pathologic’ Q waves (Q wave >40ms in width and >25% of the QRS amplitude) in inferior leads (II, III and aVF) in a WCT correlated with a diagnosis of VT. But comparative accuracy with other well-established algorithms have not been rigorously studied. We sought to examine two Q-wave criteria (QWC-A and QWC-B) in differentiating WCTs using the presence or absence of specific Q wave patterns in inferior leads. We also compared its diagnostic accuracy to the well-validated Brugada algorithm.",span,,p_span_,12.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,1,0.08333333333333333,12.0,11.0,1,2,1.0,0,0,0,0,1,1,0,1,1
2,2,themostcommonlyusedcriteriaincludethebrugadaalgorithm,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.1 The most commonly used criteria include the Brugada algorithm2, the aVR ‘Vereckei’ algorithm3, the lead II R-wave-peak-time criterion4 and Griffith algorithm.5 Recently, mathematical logistic regression models (The WCT formula ,The WCT formula II, VT prediction Model)6,7,8 for implementation in computerized ECG interpretation software have also been developed. We had observed in our patient population that presence of ‘pathologic’ Q waves (Q wave >40ms in width and >25% of the QRS amplitude) in inferior leads (II, III and aVF) in a WCT correlated with a diagnosis of VT. But comparative accuracy with other well-established algorithms have not been rigorously studied. We sought to examine two Q-wave criteria (QWC-A and QWC-B) in differentiating WCTs using the presence or absence of specific Q wave patterns in inferior leads. We also compared its diagnostic accuracy to the well-validated Brugada algorithm.",span,,p_span_,12.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001, The most commonly used criteria include the Brugada algorithm,0.08333333333333333,12.0,11.0,1,2,1.0,1,0,0,0,0,0,0,9,themostcommonlyusedcriteriaincludethebrugadaalgori
2,2,2,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.1 The most commonly used criteria include the Brugada algorithm2, the aVR ‘Vereckei’ algorithm3, the lead II R-wave-peak-time criterion4 and Griffith algorithm.5 Recently, mathematical logistic regression models (The WCT formula ,The WCT formula II, VT prediction Model)6,7,8 for implementation in computerized ECG interpretation software have also been developed. We had observed in our patient population that presence of ‘pathologic’ Q waves (Q wave >40ms in width and >25% of the QRS amplitude) in inferior leads (II, III and aVF) in a WCT correlated with a diagnosis of VT. But comparative accuracy with other well-established algorithms have not been rigorously studied. We sought to examine two Q-wave criteria (QWC-A and QWC-B) in differentiating WCTs using the presence or absence of specific Q wave patterns in inferior leads. We also compared its diagnostic accuracy to the well-validated Brugada algorithm.",span,,p_span_,12.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,2,0.08333333333333333,12.0,11.0,1,2,1.0,0,0,0,0,1,1,0,1,2
2,2,theavrvereckeialgorithm,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.1 The most commonly used criteria include the Brugada algorithm2, the aVR ‘Vereckei’ algorithm3, the lead II R-wave-peak-time criterion4 and Griffith algorithm.5 Recently, mathematical logistic regression models (The WCT formula ,The WCT formula II, VT prediction Model)6,7,8 for implementation in computerized ECG interpretation software have also been developed. We had observed in our patient population that presence of ‘pathologic’ Q waves (Q wave >40ms in width and >25% of the QRS amplitude) in inferior leads (II, III and aVF) in a WCT correlated with a diagnosis of VT. But comparative accuracy with other well-established algorithms have not been rigorously studied. We sought to examine two Q-wave criteria (QWC-A and QWC-B) in differentiating WCTs using the presence or absence of specific Q wave patterns in inferior leads. We also compared its diagnostic accuracy to the well-validated Brugada algorithm.",span,,p_span_,12.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,", the aVR ‘Vereckei’ algorithm",0.08333333333333333,12.0,11.0,1,2,1.0,0,0,0,0,0,0,0,4,theavrvereckeialgorithm
2,2,3,"Wide complex tachycardia (WCT), defined as a cardiac rhythm with a QRS width of >120ms and heart rate of >100 bpm, often presents as a diagnostic challenge. The differential diagnosis for WCT includes ventricular tachycardia (VT), supraventricular tachycardia with aberration (SVT-A) and pre-excited tachycardia. Different algorithms and criteria have been developed to aid electrocardiographic differentiation of VT and SVT-A.1 The most commonly used criteria include the Brugada algorithm2, the aVR ‘Vereckei’ algorithm3, the lead II R-wave-peak-time criterion4 and Griffith algorithm.5 Recently, mathematical logistic regression models (The WCT formula ,The WCT formula II, VT prediction Model)6,7,8 for implementation in computerized ECG interpretation software have also been developed. We had observed in our patient population that presence of ‘pathologic’ Q waves (Q wave >40ms in width and >25% of the QRS amplitude) in inferior leads (II, III and aVF) in a WCT correlated with a diagnosis of VT. But comparative accuracy with other well-established algorithms have not been rigorously studied. We sought to examine two Q-wave criteria (QWC-A and QWC-B) in differentiating WCTs using the presence or absence of specific Q wave patterns in inferior leads. We also compared its diagnostic accuracy to the well-validated Brugada algorithm.",span,,p_span_,12.0,,"'Calibri',sans-serif",0.0,0.0,0.0,0.0,,,1,0001,3,0.08333333333333333,12.0,11.0,1,2,1.0,0,0,0,0,1,1,0,1,3
